2015-09-08,Canada,gpc,5.1
2015-09-08,Canada,bq,3.5
2015-09-08,Canada,oth,0.8
2015-09-09,Canada,cpc,28
2015-09-09,Canada,ndp,31.6
2015-09-09,Canada,lpc,31.5
2015-09-09,Canada,gpc,4.7
2015-09-09,Canada,bq,3.5
2015-09-09,Canada,oth,0.6
2015-09-10,Canada,cpc,29.7
2015-09-10,Canada,ndp,32
2015-09-10,Canada,lpc,29.8
2015-09-10,Canada,gpc,4.4
2015-09-10,Canada,bq,3.4
2015-09-10,Canada,oth,0.8
2015-09-13,Canada,cpc,29.6
2015-09-13,Canada,ndp,31.5
2015-09-13,Canada,lpc,29.9
2015-09-13,Canada,gpc,4.7
2015-09-13,Canada,bq,3.2
2015-09-13,Canada,oth,1.1
2015-09-14,Canada,cpc,30
2015-09-14,Canada,ndp,31.2
2015-09-14,Canada,lpc,29.9
2015-09-14,Canada,gpc,4.7
2015-09-14,Canada,bq,3.3
2015-09-14,Canada,oth,0.9
2015-09-15,Canada,cpc,29.3
2015-09-15,Canada,ndp,31.5
2015-09-15,Canada,lpc,30
2015-09-15,Canada,gpc,4.9
2015-09-15,Canada,bq,3.2
2015-09-15,Canada,oth,1
2015-09-16,Canada,cpc,29.8
2015-09-16,Canada,ndp,30.9
2015-09-16,Canada,lpc,29.3
2015-09-16,Canada,gpc,6.1
2015-09-16,Canada,bq,3.3
2015-09-16,Canada,oth,0.6
2015-09-17,Canada,cpc,29.5
2015-09-17,Canada,ndp,31.1
2015-09-17,Canada,lpc,29.7
2015-09-17,Canada,gpc,6
2015-09-17,Canada,bq,3.1
2015-09-17,Canada,oth,0.6
2015-09-20,Canada,cpc,30.5
2015-09-20,Canada,ndp,29.8
2015-09-20,Canada,lpc,29.6
2015-09-20,Canada,gpc,5.7
2015-09-20,Canada,bq,3.6
2015-09-20,Canada,oth,0.9
2015-09-21,Canada,cpc,30.3
2015-09-21,Canada,ndp,29.7
2015-09-21,Canada,lpc,30.5
2015-09-21,Canada,gpc,4.8
2015-09-21,Canada,bq,3.8
2015-09-21,Canada,oth,0.9
2015-09-22,Canada,cpc,30.3
2015-09-22,Canada,ndp,29.5
2015-09-22,Canada,lpc,31.2
2015-09-22,Canada,gpc,4.6
2015-09-22,Canada,bq,3.5
2015-09-22,Canada,oth,0.9
2015-09-23,Canada,cpc,31.3
2015-09-23,Canada,ndp,28.9
2015-09-23,Canada,lpc,30.3
2015-09-23,Canada,gpc,5
2015-09-23,Canada,bq,3.7
2015-09-23,Canada,oth,0.8
2015-09-24,Canada,cpc,30.7
2015-09-24,Canada,ndp,29.1
2015-09-24,Canada,lpc,30.8
2015-09-24,Canada,gpc,4.8
2015-09-24,Canada,bq,3.7
2015-09-24,Canada,oth,0.9
2015-09-27,Canada,cpc,32
2015-09-27,Canada,ndp,27.6
2015-09-27,Canada,lpc,30.4
2015-09-27,Canada,gpc,4.7
2015-09-27,Canada,bq,4.2
2015-09-27,Canada,oth,1.1
2015-09-28,Canada,cpc,31.8
2015-09-28,Canada,ndp,27.7
2015-09-28,Canada,lpc,30.8
2015-09-28,Canada,gpc,4.7
2015-09-28,Canada,bq,4.2
2015-09-28,Canada,oth,0.9
2015-09-29,Canada,cpc,31.8
2015-09-29,Canada,ndp,27.3
2015-09-29,Canada,lpc,31.3
2015-09-29,Canada,gpc,4.6
2015-09-29,Canada,bq,4.3
2015-09-29,Canada,oth,0.8
2015-09-30,Canada,cpc,32.5
2015-09-30,Canada,ndp,27.2
2015-09-30,Canada,lpc,30.4
2015-09-30,Canada,gpc,4.6
2015-09-30,Canada,bq,4.5
2015-09-30,Canada,oth,0.8
2015-10-01,Canada,cpc,32.3
2015-10-01,Canada,ndp,26.8
2015-10-01,Canada,lpc,30.4
2015-10-01,Canada,gpc,4.8
2015-10-01,Canada,bq,5
2015-10-01,Canada,oth,0.7
2015-10-02,Canada,cpc,31.6
2015-10-02,Canada,ndp,26.6
2015-10-02,Canada,lpc,30.9
2015-10-02,Canada,gpc,5.2
2015-10-02,Canada,bq,5
2015-10-02,Canada,oth,0.6
2015-07-16,AB,cpc,46.9
2015-07-16,AB,ndp,29.6
2015-07-16,AB,lpc,17.5
2015-07-16,AB,gpc,4.1
2015-07-16,AB,bq,0
2015-07-16,AB,oth,2
2015-07-21,AB,cpc,47.6
2015-07-21,AB,ndp,27
2015-07-21,AB,lpc,18.8
2015-07-21,AB,gpc,5.3
2015-07-21,AB,bq,0
2015-07-21,AB,oth,1.4
2015-07-27,AB,cpc,48.9
2015-07-27,AB,ndp,27.1
2015-07-27,AB,lpc,17.6
