riding,date,sample_size,cpc,ndp,lpc,bq,gpc,oth
59022,2011-05-02,38417,0.5484030507327485,0.3489080355051149,0.05383033552854205,0.0,0.048858578233594505,0.0
59016,2011-05-02,44638,0.6582508176889645,0.19348985169586452,0.08981137147721673,0.0,0.05253371566826471,0.005914243469689502
59030,2011-05-02,45177,0.5288089071872856,0.19193394869070546,0.190915731456272,0.0,0.05861389645173429,0.0297275162140027
12011,2011-05-02,42954,0.47036364482935233,0.13109372817432602,0.3639241979792336,0.0,0.034618429017088045,0.0
59009,2011-05-02,57470,0.4488950756916652,0.40715155733426134,0.06716547764050809,0.0,0.06843570558552288,0.008352183748042457
59017,2011-05-02,33638,0.5448897080682561,0.32014388489208634,0.08404185742315239,0.0,0.046376122242701705,0.004548427373803437
24028,2011-05-02,47238,0.07203945975697532,0.4747237393623778,0.11736313984504002,0.3075701765527753,0.016723824039967822,0.011579660442863796
24047,2011-05-02,45422,0.49141385231825985,0.2626480560081018,0.05970675003302364,0.16604288670688214,0.014684514112104266,0.005503940821628286
24046,2011-05-02,38718,0.11627666718322227,0.4767291698951392,0.055038999948344436,0.32682473268247325,0.025130430290820807,0.0
24045,2011-05-02,56615,0.3758367923695134,0.3987635785569195,0.06371103064558863,0.1435485295416409,0.015049015278636405,0.0030910536077011393
24044,2011-05-02,60438,0.2183229094278434,0.38649525133194346,0.13417055494887323,0.2421655250008273,0.016479698203117243,0.0023660610873953475
24043,2011-05-02,52653,0.08738343494197862,0.5001614342962414,0.10090593128596662,0.28796079995441853,0.021936072018688395,0.0016523275027063985
24042,2011-05-02,56343,0.3987895568216105,0.3849280301013436,0.05088475941998118,0.1487851197131853,0.016612533943879453,0.0
24041,2011-05-02,47419,0.10535861152702503,0.45435374006200047,0.13321664311773762,0.28298783188173515,0.024083173411501718,0.0
24040,2011-05-02,44641,0.16426603346699223,0.4719652337537242,0.2062453798078,0.12891736296229922,0.017786339911740327,0.010819650097444053
59001,2011-05-02,37466,0.6688464207548177,0.19244114663961992,0.08695884268403352,0.0,0.046548870976351894,0.005204718945176961
59026,2011-05-02,56652,0.37606792346254325,0.394072583492198,0.09697804137541481,0.0,0.12860975781967096,0.004271693850172986
24049,2011-05-02,52165,0.09604140707370842,0.44526023195629255,0.1250646985526694,0.2907505032109652,0.024499185277484903,0.018383973928879516
24048,2011-05-02,47486,0.0922587710061913,0.4954302320683991,0.07751758413005938,0.31015457187381545,0.020174367181906246,0.004464473739628522
48015,2011-05-02,37766,0.5251549012339141,0.37472859185510776,0.06574696817243023,0.0,0.0343695387385479,0.0
59019,2011-05-02,40943,0.34758078303983586,0.5177930293334636,0.08699899860782064,0.0,0.04330410570793542,0.004323083310944484
46012,2011-05-02,26665,0.2735795987249203,0.35398462403900244,0.34993437089818114,0.0,0.017813613350834426,0.004687792987061692
59025,2011-05-02,34079,0.5806508406936823,0.18201825170926378,0.18750550192200474,0.0,0.04982540567504915,0.0
48026,2011-05-02,41165,0.5251548645694157,0.29950200412972183,0.09131543787197863,0.0,0.0448196283250334,0.03920806510385036
46013,2011-05-02,39648,0.5173274818401937,0.14136904761904762,0.3199152542372881,0.0,0.021388216303470542,0.0
13005,2011-05-02,35922,0.40479371972607314,0.1934469127554145,0.34789265631089583,0.0,0.017955570402538833,0.035911140805077665
13004,2011-05-02,39368,0.579582401950823,0.2686699857752489,0.10437411095305832,0.0,0.047221093273724854,0.00015240804714488924
13007,2011-05-02,44410,0.36764242287773025,0.28457554604818736,0.3050213915784733,0.0,0.0427606394956091,0.0
13006,2011-05-02,34499,0.5319574480419722,0.22867329487811242,0.21365836690918577,0.0,0.024551436273515175,0.001159453897214412
13001,2011-05-02,46847,0.16541080538775163,0.6907806262941063,0.14314683971225478,0.0,0.00066172860588725,0.0
35017,2011-05-02,46376,0.5319993099879248,0.271584440227704,0.16288597550457132,0.0,0.033444022770398485,8.625150940141452e-05
13003,2011-05-02,38772,0.46974620860414734,0.24301041989064273,0.24022490457030846,0.0,0.04149901991127618,0.005519447023625296
13002,2011-05-02,45487,0.3171675423747444,0.2342207663728098,0.4069074680677996,0.0,0.041704223184646165,0.0
35018,2011-05-02,39064,0.14215134138849067,0.5371953716977268,0.2789524882244522,0.0,0.034174687691992625,0.007526110997337702
35019,2011-05-02,35172,0.3637552598658023,0.21875355396337995,0.383913340156943,0.0,0.028232685090412827,0.005345160923461845
13009,2011-05-02,35964,0.4972194416638861,0.3073073073073073,0.15988210432654876,0.0,0.027583138694249807,0.008008008008008008
13008,2011-05-02,33012,0.5665212649945475,0.23309705561613958,0.13564764328123108,0.0,0.0509814612868048,0.01375257482127711
48020,2011-05-02,38525,0.6419987021414666,0.1947306943543154,0.12462037637897469,0.0,0.03675535366645036,0.0018948734587929915
59024,2011-05-02,39366,0.6185286795712036,0.2585225829395925,0.05164355027180816,0.0,0.060610679266371995,0.010694507951023726
48011,2011-05-02,39600,0.7551767676767677,0.11128787878787878,0.07186868686868687,0.0,0.0556060606060606,0.006060606060606061
24050,2011-05-02,44753,0.07943601546265056,0.5190266574307868,0.04922575022903492,0.3144146761110987,0.03789690076642906,0.0
24051,2011-05-02,47545,0.36336102639604584,0.3635503207487643,0.05769271216742034,0.20086234094016195,0.01453359974760753,0.0
24052,2011-05-02,39007,0.35611556900043584,0.17850642192427,0.4140538877637347,0.029122977927038735,0.01750967775014741,0.0046914656343733175
24053,2011-05-02,44642,0.17649298866538238,0.3505219300210564,0.38242014246673534,0.040701581470364234,0.04379284082254379,0.006070516553917835
